Step	Best	Median	Predicted	Progress
458	6.73174	24.8191	-69.3337	0.00424487
459	5.98884	27.1763	-69.3062	0.00424833
460	6.19127	29.3967	-69.3264	0.00425206
461	7.61132	27.9413	-69.2614	0.00425508
462	6.00523	27.0679	-69.2302	0.00425886
463	7.00076	30.1891	-69.1623	0.00425715
464	6.08182	27.0277	-69.0954	0.00425684
465	6.3239	30.3856	-68.9519	0.00425323
466	6.23727	30.7487	-69.0185	0.00425795
467	6.77513	26.9585	-69.0947	0.00426375
468	6.91487	28.445	-69.1257	0.00426816
469	11.9183	27.0378	-69.1277	0.0042693
470	6.4288	24.259	-69.1813	0.0042721
471	6.99304	34.5627	-69.1673	0.00427361
472	6.2241	31.8052	-69.1933	0.00427458
473	7.01583	33.8393	-69.0552	0.0042708
474	8.09918	29.7767	-68.9152	0.00426593
475	7.07173	29.7696	-68.6879	0.00425975
476	7.65851	29.3154	-68.6909	0.00426113
477	6.87113	30.6476	-68.6888	0.00425892
478	8.9758	31.0407	-68.6155	0.00424922
479	9.40376	33.5065	-68.5775	0.0042467
480	6.68125	32.3262	-68.6263	0.00424995
481	7.78089	34.3147	-68.4308	0.00424082
482	6.81787	32.2217	-68.4451	0.00424314
483	5.95224	30.2691	-68.2005	0.00423548
484	6.8848	27.0013	-68.1783	0.0042306
485	7.35836	30.9143	-68.2189	0.00423439
486	5.973	27.8744	-68.2449	0.0042374
487	6.39733	26.8663	-68.1477	0.0042333
488	6.64077	30.1133	-68.2175	0.00423884
489	6.50966	30.6437	-68.0616	0.00423402
490	7.09226	26.9214	-67.9524	0.00422933
491	5.89608	30.6319	-67.9061	0.00422525
492	6.52288	29.4754	-67.927	0.00422506
493	6.10257	27.1448	-67.985	0.00423121
494	9.14908	29.4627	-68.004	0.00423585
495	6.52096	28.1793	-67.9385	0.00423521
496	6.27036	35.8086	-67.7761	0.00423211
497	7.20248	27.1471	-67.8193	0.00423508
498	7.06762	25.1865	-67.8319	0.00423904
499	6.11174	27.258	-67.7538	0.00423517
500	8.05312	25.9273	-67.3319	0.00422598
501	7.61977	29.0924	-67.2018	0.00423439
502	6.93142	27.962	-67.1522	0.00424471
503	6.99055	25.8846	-66.9405	0.00425164
504	6.21982	28.1928	-66.8852	0.00426292
505	7.13487	29.6363	-66.7724	0.00426779
506	6.79358	30.4604	-66.79	0.00427986
507	8.62321	34.2919	-66.6324	0.00428335
508	6.03576	26.1796	-66.457	0.00429039
509	5.90746	24.6531	-66.4232	0.00430304
510	5.95429	32.8903	-66.4223	0.00431694
511	6.92916	25.0146	-66.3452	0.00432863
512	7.06028	27.3903	-66.3756	0.00433307
513	5.57188	30.6493	-66.2229	0.00433854
514	9.36691	34.9461	-66.1417	0.0043487
515	7.13773	30.4311	-65.9994	0.00435909
516	8.17489	25.485	-65.9535	0.00437312
517	7.74697	24.4723	-65.8045	0.00438336
518	7.21106	27.4009	-65.5794	0.00438847
519	6.5647	19.8237	-65.4469	0.00439675
520	6.74154	23.5449	-65.3302	0.00440483
521	8.15387	28.8644	-65.2097	0.00441053
522	7.57031	25.2435	-65.0802	0.00441968
523	6.36132	22.7339	-64.9437	0.00442422
524	6.39972	23.4821	-64.7579	0.00442787
525	7.07895	27.234	-64.6253	0.00443611
526	6.84361	25.2754	-64.5787	0.00444821
527	8.17532	26.3771	-64.2914	0.00444479
528	6.18232	24.8582	-63.8654	0.00443304
529	6.25761	25.1072	-63.7994	0.00444478
530	6.40161	24.4848	-63.6651	0.00445445
531	7.59217	30.0916	-63.4916	0.00445899
532	6.24143	28.7348	-63.2078	0.00445751
533	8.16146	27.8097	-62.8648	0.00444824
534	5.98961	32.2692	-62.6366	0.00445533
535	6.41107	25.6058	-62.5766	0.00446511
536	6.57526	31.2662	-62.3389	0.00446639
537	6.14894	31.8969	-62.062	0.00446241
538	6.26419	27.998	-61.8285	0.00446459
539	6.43713	25.2813	-61.8566	0.0044825
540	6.34866	26.8383	-61.8249	0.00449807
541	6.74557	25.2672	-61.5511	0.00449471
542	6.25792	26.1758	-61.2237	0.00448702
543	7.89968	25.6755	-61.0934	0.00449897
544	7.02034	30.7663	-60.9139	0.00451029
545	7.85072	29.5233	-60.7075	0.00451558
546	5.46542	27.4609	-60.4986	0.00451936
547	8.46946	31.9864	-59.7802	0.00450253
548	7.99755	27.6994	-59.3514	0.00450155
549	6.66154	30.8017	-59.1024	0.00450487
550	7.11948	27.1965	-58.9677	0.00451373
551	6.32179	26.5173	-58.4189	0.00450372
552	6.01586	31.8726	-58.3063	0.00451245
553	5.86932	25.8848	-58.2176	0.00452124
554	5.83791	26.0416	-58.0816	0.00452511
555	6.51283	24.3106	-57.8881	0.0045304
556	6.50315	27.3853	-57.9596	0.00454382
557	7.01561	27.5451	-57.5601	0.00453806
558	6.99709	25.9455	-57.5486	0.00455116
559	6.4577	25.4636	-57.3974	0.00456138
560	6.82043	32.3914	-57.3433	0.00457613
561	6.23953	29.3964	-57.1912	0.00458652
562	6.08755	26.1358	-56.8195	0.00457573
563	6.29837	28.1059	-56.3901	0.00456863
564	6.36246	24.718	-56.0424	0.00456425
565	6.45059	30.0748	-55.7315	0.00455903
566	6.54609	34.2115	-55.4435	0.00455236
567	8.99332	31.9529	-55.1954	0.00454851
568	6.67504	29.7408	-55.0413	0.00455187
569	6.91427	30.0891	-54.3053	0.00451801
570	6.18726	27.5007	-53.9224	0.00450373
